,Player Info,,,,,,,,,,Physical Ratings,,,,,,,Ball Carrier Ratings,,,,,,,Receiving Ratings,,,,,,,Passer Ratings,,,,,,,,Blocking Ratings,,,,,,,,Tackling Ratings,,,Coverage Ratings,,,,Pass Rush Ratings,,,Special Teams Ratings,,,Injury Ratings,,,Contract Info,,Misc Info,,,,,,,,,,,,
12,Patriots,CB,CB_MantoMan,24,Stephon,Gilmore,30,73,202,97,91,93,94,95,70,92,98,62,67,80,53,22,30,69,76,62,70,15,15,11,10,43,39,35,32,30,39,25,33,35,35,35,35,35,35,56,16,67,68,73,98,96,97,97,60,44,54,30,25,70,96,94,72,"$36,720,000 ","$32,280,000 ",Default,33135,9,Right,South Carolina,5184,22,11436,Stephon Gilmore,GilmoreStephon_11436,launch-ratings,published,
13,Buccaneers,QB,QB_FieldGeneral,12,Tom,Brady,44,76,225,97,59,66,70,65,64,63,99,69,31,52,35,20,27,51,39,15,30,12,15,14,12,91,99,97,93,87,84,99,61,25,15,10,19,14,19,34,31,32,12,30,11,19,10,20,10,10,33,18,17,10,99,99,96,"$1,500,000 ","$49,510,000 ",Default,28340,21,Right,Michigan,494,6,1327,Tom Brady,BradyTom_1327,launch-ratings,published,
14,Bears,LOLB,OLB_PowerRusher,52,Khalil,Mack,30,75,260,96,86,88,86,73,89,94,95,61,31,54,60,55,51,55,62,54,53,28,15,5,5,32,6,6,6,12,6,6,12,45,45,45,45,45,45,90,28,94,88,96,50,59,48,95,93,89,93,24,22,10,91,97,92,"$91,680,000 ","$59,960,000 ",Default Stride Loose,33291,7,Right,Buffalo,6504,1,12344,Khalil Mack,MackKhalil_12344,launch-ratings,published,
15,Browns,HB,HB_PowerBack,24,Nick,Chubb,25,71,227,96,92,91,83,82,85,92,97,97,98,87,74,91,89,96,67,53,54,48,54,46,39,26,25,20,15,15,17,15,28,37,34,30,69,39,25,35,37,29,35,35,12,16,13,18,18,12,29,17,12,35,94,92,92,"$5,830,000 ","$3,440,000 ",Default Stride High and Tight,35060,3,Right,Georgia,8846,5,13129,Nick Chubb,ChubbNick_13129,launch-ratings,published,
16,Packers,QB,QB_Improviser,12,Aaron,Rodgers,37,74,225,96,79,84,81,79,59,76,96,63,65,53,55,29,22,78,47,15,15,15,15,14,12,94,96,90,95,95,95,93,86,23,18,18,12,12,12,29,22,19,12,24,13,19,10,25,10,10,19,15,18,10,97,91,98,"$90,980,000 ","$85,650,000 ",Default,30652,16,Right,California,6299,20,26668,Aaron Rodgers,RodgersAaron_26668,launch-ratings,published,
17,Packers,LT,OT_PassProtector,69,David,Bakhtiari,29,76,310,96,69,80,68,53,91,65,98,22,5,10,10,25,15,10,40,15,12,15,15,5,5,22,6,6,6,13,6,6,12,83,80,84,96,93,98,91,88,40,25,28,10,10,10,15,10,10,20,20,20,10,85,89,69,"$41,100,000 ","$65,470,000 ",Default Stride Awkward,33511,8,Right,Colorado,5671,20,1713,David Bakhtiari,BakhtiariDavid_1713,launch-ratings,published,
18,49ers,TE,TE_Possession,85,George,Kittle,27,76,250,96,88,89,84,76,82,91,94,79,81,80,64,84,85,90,88,86,91,88,85,83,76,30,20,15,10,14,10,10,18,77,76,71,62,62,58,78,65,34,38,36,15,24,20,35,20,18,31,19,22,31,92,86,98,"$54,300,000 ","$22,910,000 ",Default Stride Loose,34251,4,Right,Iowa,8622,15,12836,George Kittle,KittleGeorge_12836,launch-ratings,published,
19,Titans,HB,HB_PowerBack,22,Derrick,Henry,27,75,247,96,92,89,86,79,87,88,98,94,95,86,75,90,99,92,62,47,48,47,56,49,41,41,39,29,23,27,32,15,29,42,35,31,62,43,38,47,49,44,33,41,14,19,16,20,11,12,36,21,20,36,97,93,97,"$25,500,000 ","$24,500,000 ",Default Stride High and Tight,34338,5,Right,Alabama,8045,30,17557,Derrick Henry,HenryDerrick_17557,launch-ratings,published,
20,Packers,CB,CB_MantoMan,23,Jaire,Alexander,24,70,196,95,93,93,94,97,60,84,96,62,64,85,76,25,26,71,70,56,63,14,20,15,13,26,6,6,6,13,6,6,22,35,35,35,35,35,35,57,13,58,62,75,97,95,89,93,24,36,54,22,13,81,95,87,64,"$18,500,000 ","$6,840,000 ",Short Stride Loose,35470,3,Right,Louisville,8797,20,13109,Jaire Alexander,AlexanderJaire_13109,launch-ratings,published,
21,Colts,LG,G_Power,56,Quenton,Nelson,25,77,329,95,65,78,70,60,97,67,99,35,11,12,10,37,10,16,19,10,12,12,10,10,10,27,6,6,6,15,6,6,12,92,93,91,90,91,88,94,96,34,28,36,9,10,10,18,10,10,27,21,15,10,91,98,91,"$22,190,000 ","$15,440,000 ",Long Stride Awkward,35143,3,Left,Notre Dame,9002,10,13081,Quenton Nelson,NelsonQuenton_13081,launch-ratings,published,
22,Chiefs,SS,S_Hybrid,32,Tyrann,Mathieu,29,69,190,95,90,92,92,92,61,88,98,68,77,90,85,35,55,88,81,65,73,25,35,25,20,35,26,20,17,25,27,19,33,35,35,35,35,35,35,60,15,76,84,87,90,92,87,94,41,69,59,25,22,84,92,84,85,"$15,800,000 ","$26,190,000 ",Short Stride Loose,33737,8,Right,LSU,5964,9,11892,Tyrann Mathieu,MathieuTyrann_11892,launch-ratings,published,
23,Vikings,HB,HB_ElusiveBack,33,Dalvin,Cook,26,70,210,95,92,92,95,95,74,77,93,87,96,94,88,74,80,95,71,55,51,53,68,61,55,40,38,32,25,17,32,27,22,39,30,32,58,33,28,33,35,28,29,38,13,12,20,14,20,20,25,17,21,65,91,84,81,"$38,700,000 ","$26,320,000 ",Short Stride Default,34921,4,Right,Florida State,8516,31,12523,Dalvin Cook,CookDalvin_12523,launch-ratings,published,
24,Saints,LT,OT_PassProtector,72,Terron,Armstead,30,77,304,95,80,85,68,60,89,83,95,62,15,35,25,35,33,30,65,64,55,45,44,34,26,30,6,6,6,16,6,6,12,89,86,90,94,94,96,85,90,37,20,24,15,20,10,17,10,10,25,25,25,10,92,82,86,"$26,510,000 ","$28,810,000 ",Default Stride Awkward,33442,8,Right,Arkansas P.B.,5661,27,964,Terron Armstead,ArmsteadTerron_964,launch-ratings,published,
25,Titans,WR,WR_Physical,2,Julio,Jones,32,75,220,95,92,90,93,90,78,96,99,75,89,89,81,77,83,97,96,96,96,93,94,91,89,45,15,10,6,22,10,6,22,58,38,36,50,38,39,60,40,45,63,49,19,27,15,20,10,10,45,25,15,68,98,86,95,"$24,520,000 ","$44,590,000 ",Long Stride Loose,32547,10,Right,Alabama,4402,30,10615,Julio Jones,JonesJulio_10615,launch-ratings,published,
26,Cardinals,LOLB,OLB_PowerRusher,55,Chandler,Jones,31,77,265,94,78,85,80,70,87,85,94,47,10,41,35,35,45,10,49,15,25,15,15,5,5,20,6,6,6,13,6,6,12,45,45,45,45,45,45,87,26,91,81,97,45,50,33,91,95,92,79,25,15,10,95,83,85,"$33,000,000 ","$49,490,000 ",Long Stride Loose,32931,9,Right,Syracuse,5281,7,11295,Chandler Jones,JonesChandler_11295,launch-ratings,published,
27,Cardinals,LE,DE_PowerRusher,99,J.J.,Watt,32,77,288,94,77,83,85,69,97,88,97,67,22,35,33,60,49,55,78,70,71,62,54,43,37,20,6,6,6,14,6,6,12,45,45,45,45,45,45,94,24,90,87,96,23,29,15,95,93,89,90,10,10,10,89,77,98,"$1,000,000 ","$19,800,000 ",Default,32589,10,Right,Wisconsin,4499,7,10693,J.J. Watt,WattJJ_10693,launch-ratings,published,
28,Saints,HB,HB_ElusiveBack,41,Alvin,Kamara,26,70,215,94,89,94,93,89,77,92,96,92,94,94,85,86,92,93,76,74,75,78,82,76,68,41,34,31,23,15,33,26,24,41,29,28,61,27,23,39,41,29,33,34,18,24,17,18,31,48,29,21,16,83,93,95,84,"$54,800,000 ","$22,580,000 ",Default,34905,4,Right,Tennessee,8617,27,12551,Alvin Kamara,KamaraAlvin_12551,launch-ratings,published,
29,Saints,WR,WR_Physical,13,Michael,Thomas,28,75,212,94,87,91,92,90,77,94,96,78,82,87,78,59,82,91,97,98,96,96,92,92,89,24,15,10,6,22,10,6,23,52,38,31,40,15,14,45,25,27,15,19,16,18,16,16,11,11,22,23,22,25,99,92,99,"$53,450,000 ","$44,420,000 ",Default,34031,5,Right,Ohio State,8231,27,17552,Michael Thomas,ThomasMichael_17552,launch-ratings,published,
30,Eagles,DT,DT_PowerRusher,91,Fletcher,Cox,30,76,310,94,77,85,78,64,95,66,95,38,10,25,30,42,47,25,32,15,15,15,15,7,3,19,6,6,6,15,6,6,12,45,45,45,45,45,45,91,41,93,80,87,24,38,10,92,95,77,85,25,21,10,84,93,76,"$46,680,000 ","$58,250,000 ",Long Stride Loose,33220,9,Right,Mississippi St.,5119,13,11297,Fletcher Cox,CoxFletcher_11297,launch-ratings,published,
31,Steelers,LOLB,OLB_SpeedRusher,90,T.J.,Watt,26,76,252,94,83,89,84,72,81,88,97,53,23,46,37,52,43,49,63,42,48,22,24,14,7,25,6,6,6,16,6,6,12,45,45,45,45,45,45,76,16,90,85,93,59,65,43,94,83,94,86,23,17,6,87,88,88,"$4,900,000 ","$14,470,000 ",Long Stride Loose,34618,4,Right,Wisconsin,8770,29,12562,T.J. Watt,WattTJ_12562,launch-ratings,published,
32,49ers,MLB,MLB_FieldGeneral,54,Fred,Warner,24,75,230,94,85,91,85,84,76,94,99,63,21,59,53,46,34,50,73,61,60,20,15,5,5,14,6,6,6,10,6,6,12,45,45,45,45,45,45,78,23,88,80,95,75,85,58,99,52,60,80,13,10,10,91,86,78,"$5,360,000 ","$1,020,000 ",Short Stride Bread Loaf,35388,3,Left,BYU,9101,15,13203,Fred Warner,WarnerFred_13203,launch-ratings,published,
33,49ers,LT,OT_Power,71,Trent,Williams,33,77,320,94,76,83,74,59,95,83,94,40,7,10,10,10,10,10,20,15,51,15,15,5,5,12,6,6,6,14,6,6,12,92,91,93,92,94,92,99,91,39,60,33,10,14,10,19,10,10,32,11,10,10,85,84,98,"$97,870,000 ","$40,100,000 ",Default Stride Awkward,32343,11,Right,Oklahoma,3231,15,9800,Trent Williams,WilliamsTrent_9800,launch-ratings,published,
34,Seahawks,QB,QB_Improviser,3,Russell,Wilson,32,71,215,94,85,91,92,89,59,83,91,67,83,83,79,38,65,93,68,35,42,25,31,21,11,92,94,94,91,94,96,95,94,45,38,35,10,10,10,37,37,26,12,47,15,14,10,26,10,10,16,10,19,10,98,98,98,"$87,500,000 ","$77,790,000 ",Default,32476,9,Right,Wisconsin,5566,28,11217,Russell Wilson,WilsonRussell_11217,launch-ratings,published,
35,Cardinals,SS,S_RunSupport,3,Budda,Baker,25,70,195,93,91,91,92,91,72,86,95,72,57,81,72,36,36,76,75,70,75,47,51,41,36,25,15,10,10,17,15,15,27,35,35,35,35,35,35,68,23,78,86,88,81,84,77,97,40,49,64,20,20,66,95,89,83,"$39,300,000 ","$21,900,000 ",Short Stride Loose,35074,4,Right,Washington,8472,7,12549,Budda Baker,BakerBudda_12549,launch-ratings,published,
36,Ravens,LT,OT_Agile,79,Ronnie,Stanley,27,78,315,93,66,80,74,57,91,71,96,32,8,22,13,27,19,15,24,22,20,22,19,9,6,22,6,6,6,16,6,6,12,93,89,94,93,92,95,85,88,31,42,29,11,13,9,18,18,14,27,20,17,9,88,90,76,"$49,000,000 ","$62,620,000 ",Default Stride Awkward,34411,5,Right,Notre Dame,8225,25,17545,Ronnie Stanley,StanleyRonnie_17545,launch-ratings,published,
37,Bills,CB,CB_MantoMan,27,Tre'Davious,White,26,71,192,93,91,93,91,89,75,82,95,65,73,82,74,28,43,81,73,58,70,32,35,25,18,36,28,22,18,30,31,16,40,25,35,35,25,35,35,55,18,67,66,77,95,93,93,91,28,36,53,22,18,85,95,90,81,"$45,090,000 ","$37,360,000 ",Short Stride Bread Loaf,34715,4,Right,LSU,8775,3,12548,Tre'Davious White,WhiteTreDavious_12548,launch-ratings,published,
38,Broncos,LOLB,OLB_PowerRusher,58,Von,Miller,32,75,250,93,86,88,88,76,84,83,93,65,20,53,45,41,35,40,51,20,40,35,15,5,5,19,6,6,6,13,6,6,12,45,45,45,45,45,45,89,29,92,89,95,46,57,62,93,91,88,92,21,15,10,90,94,88,"$54,000,000 ","$29,020,000 ",Default Stride Loose,32593,10,Right,Texas AM,4432,4,10737,Von Miller,MillerVon_10737,launch-ratings,published,
39,Raiders,TE,TE_VerticalThreat,83,Darren,Waller,28,78,255,93,90,90,84,82,70,87,95,74,73,77,72,74,67,89,97,85,87,83,86,80,77,35,15,10,6,10,10,6,13,59,59,55,62,62,58,56,41,32,15,37,10,20,15,15,10,10,35,22,14,22,91,91,85,"$27,800,000 ","$2,720,000 ",Default Stride Loose,33860,5,Right,Georgia Tech,7365,23,2457,Darren Waller,WallerDarren_2457,launch-ratings,published,
40,Chargers,WR,WR_RouteRunner,13,Keenan,Allen,29,74,211,93,88,91,92,89,72,92,96,80,85,87,84,71,78,95,96,94,93,95,93,94,90,42,35,28,21,23,31,15,22,59,25,19,45,39,34,65,45,34,15,35,15,26,10,26,10,10,35,22,20,75,95,83,93,"$59,600,000 ","$33,150,000 ",Long Stride Loose,33721,8,Right,California,5654,8,505,Keenan Allen,AllenKeenan_505,launch-ratings,published,
41,Saints,LE,DE_RunStopper,94,Cameron,Jordan,32,76,287,93,77,84,80,69,92,76,96,40,14,30,25,10,25,26,36,15,15,20,15,8,4,30,6,6,6,14,6,6,12,45,45,45,45,45,45,92,22,94,85,93,30,40,20,94,92,81,92,33,29,10,91,97,85,"$31,840,000 ","$41,380,000 ",Default Stride Awkward,32699,10,Right,California,4404,27,10697,Cameron Jordan,JordanCameron_10697,launch-ratings,published,
42,Buccaneers,MLB,MLB_FieldGeneral,54,Lavonte,David,31,73,233,93,85,90,87,79,77,88,97,60,10,35,25,26,39,35,77,15,50,25,15,5,5,15,6,6,6,14,6,6,12,45,45,45,45,45,45,88,28,90,86,93,73,81,59,93,55,61,87,14,12,10,97,97,89,"$8,000,000 ","$10,150,000 ",Default Stride Awkward,32896,9,Right,Nebraska,5133,6,11306,Lavonte David,DavidLavonte_11306,launch-ratings,published,
43,Cardinals,C,C_PassProtector,61,Rodney,Hudson,32,74,315,92,60,77,59,45,90,65,87,40,25,10,10,20,10,10,34,15,15,15,15,5,5,12,6,6,6,16,6,6,12,84,86,82,93,94,92,91,92,45,20,35,12,14,10,15,30,30,41,11,15,10,85,92,97,"$17,250,000 ","$3,500,000 ",Default Stride Awkward,32701,10,Right,Florida State,4391,7,10688,Rodney Hudson,HudsonRodney_10688,launch-ratings,published,
44,Ravens,CB,CB_MantoMan,44,Marlon,Humphrey,25,72,197,92,92,93,88,90,74,85,94,62,56,76,61,29,36,68,70,52,60,15,15,11,10,22,6,6,6,10,6,6,16,35,35,35,35,35,35,60,20,69,78,70,93,89,91,92,33,42,56,30,25,62,94,89,79,"$70,500,000 ","$41,010,000 ",Short Stride Default,35254,4,Right,Alabama,8595,25,12544,Marlon Humphrey,HumphreyMarlon_12544,launch-ratings,published,
45,Cowboys,WR,WR_RouteRunner,19,Amari,Cooper,27,73,210,92,91,89,95,94,68,91,92,72,86,91,88,64,72,90,95,88,90,90,95,92,91,45,25,15,10,20,15,6,28,53,36,33,35,20,20,54,35,25,15,39,15,25,18,20,10,10,35,25,21,77,94,83,93,"$61,000,000 ","$39,000,000 ",Default Stride Loose,34502,6,Right,Alabama,7060,11,2435,Amari Cooper,CooperAmari_2435,launch-ratings,published,
46,Colts,DT,DT_SpeedRusher,99,DeForest,Buckner,27,79,295,92,72,85,84,67,91,80,97,44,13,28,23,45,33,38,40,18,21,17,14,6,3,22,6,6,6,17,6,6,12,45,44,45,46,46,44,88,38,88,87,92,33,42,22,95,85,94,88,20,19,11,85,91,88,"$52,000,000 ","$44,380,000 ",Long Stride Loose,34410,5,Right,Oregon,7920,10,17542,DeForest Buckner,BucknerDeForest_17542,launch-ratings,published,
47,Chiefs,DT,DT_PowerRusher,95,Chris,Jones,27,78,310,92,70,84,73,63,92,63,96,29,10,31,21,33,29,27,29,14,16,15,13,6,3,23,6,6,6,16,6,6,12,44,46,45,44,44,45,90,19,84,81,90,23,29,13,94,97,90,84,17,17,9,80,90,86,"$21,500,000 ","$58,500,000 ",Default Stride High and Tight,34518,5,Right,Mississippi St.,8082,9,17676,Chris Jones,JonesChris_17676,launch-ratings,published,
48,Chargers,LOLB,OLB_SpeedRusher,97,Joey,Bosa,26,77,280,92,81,87,87,70,87,78,98,43,22,33,28,36,43,39,47,26,29,17,13,6,3,28,6,6,6,14,6,6,12,45,44,45,45,45,44,90,20,85,82,95,24,35,22,95,89,96,80,26,19,9,90,89,85,"$72,860,000 ","$76,500,000 ",Default Stride Loose,34891,5,Right,Ohio State,7902,8,17537,Joey Bosa,BosaJoey_17537,launch-ratings,published,
49,Patriots,FS,S_Zone,32,Devin,McCourty,34,70,195,92,91,91,89,87,62,92,94,50,62,77,75,28,25,65,80,45,61,12,15,13,10,30,6,6,6,23,6,6,14,35,35,35,35,35,35,67,22,74,67,85,85,92,86,90,35,45,64,22,24,74,97,95,77,"$10,000,000 ","$6,550,000 ",Short Stride Loose,32002,11,Right,Rutgers,2043,22,9925,Devin McCourty,McCourtyDevin_9925,launch-ratings,published,
50,Eagles,RG,G_PassProtector,79,Brandon,Brooks,32,77,335,92,72,82,68,57,95,78,92,30,5,10,10,30,10,10,35,10,12,12,10,5,5,9,6,6,6,13,6,6,12,91,86,94,92,93,90,90,82,40,25,21,12,12,10,10,10,10,30,22,20,10,81,84,85,"$54,580,000 ","$26,070,000 ",Long Stride Awkward,32739,9,Right,Miami Univ.,5713,13,11491,Brandon Brooks,BrooksBrandon_11491,launch-ratings,published,
51,Steelers,RE,DE_RunStopper,97,Cameron,Heyward,32,77,295,92,71,79,70,60,94,74,97,39,11,10,10,36,46,29,44,10,12,12,10,3,2,21,6,6,6,18,6,6,12,45,45,45,45,45,45,87,17,93,88,92,22,32,10,97,94,74,94,12,11,10,86,89,88,"$45,420,000 ","$33,440,000 ",Long Stride Loose,32634,10,Right,Ohio State,4384,29,10698,Cameron Heyward,HeywardCameron_10698,launch-ratings,published,
52,Seahawks,MLB,MLB_FieldGeneral,54,Bobby,Wagner,31,72,242,92,85,88,84,77,81,91,91,61,23,42,24,41,53,48,73,15,48,12,15,5,5,25,6,6,6,10,6,6,12,45,45,45,45,45,45,90,28,94,92,92,70,79,42,93,72,65,88,20,20,10,97,98,74,"$42,000,000 ","$26,100,000 ",Default Stride Awkward,33051,9,Right,Utah State,6138,28,11567,Bobby Wagner,WagnerBobby_11567,launch-ratings,published,
53,Ravens,QB,QB_Improviser,8,Lamar,Jackson,24,74,212,91,96,96,95,95,63,91,93,70,81,90,82,39,66,95,26,17,15,17,20,15,13,92,89,84,84,91,93,97,95,14,14,14,13,13,13,29,21,35,27,38,12,12,10,10,12,10,16,12,19,10,92,92,96,"$27,520,000 ","$4,960,000 ",Short Stride Default,35437,3,Right,Louisville,8940,25,13092,Lamar Jackson,JacksonLamar_13092,launch-ratings,published,
54,Bengals,FS,S_Zone,30,Jessie,Bates III,24,73,200,91,89,90,89,85,58,85,94,69,48,78,69,41,36,74,76,63,66,13,20,15,10,25,10,10,10,23,10,10,10,35,35,35,35,35,35,57,20,71,78,84,81,93,66,92,25,37,43,18,12,78,93,90,79,"$4,540,000 ","$1,680,000 ",Default,35487,3,Right,Wake Forest,8815,2,13202,Jessie Bates III,BatesIIIJessie_13202,launch-ratings,published,
55,Cowboys,LT,OT_Agile,77,Tyron,Smith,30,77,320,91,72,83,77,56,96,72,92,55,11,10,10,10,10,10,56,48,37,15,35,25,17,35,6,6,6,14,6,6,12,91,88,92,90,91,89,93,89,45,20,39,12,12,10,10,10,10,40,25,21,11,88,76,94,"$51,080,000 ","$40,180,000 ",Default Stride Awkward,33219,10,Right,USC,4484,11,10653,Tyron Smith,SmithTyron_10653,launch-ratings,published,
56,Broncos,FS,S_Zone,31,Justin,Simmons,27,74,202,91,88,91,96,90,66,96,93,62,47,68,60,53,44,58,76,50,66,22,22,12,10,26,15,10,10,22,15,15,12,18,34,33,13,34,33,55,10,75,79,89,81,87,65,90,32,36,67,20,19,48,98,91,85,"$29,900,000 ","$31,100,000 ",Default,34292,5,Right,Boston College,8214,4,17758,Justin Simmons,SimmonsJustin_17758,launch-ratings,published,
57,Packers,HB,HB_ElusiveBack,33,Aaron,Jones,26,69,208,91,91,93,94,91,71,89,90,91,87,93,83,84,87,89,72,57,59,63,70,64,59,30,35,30,20,12,15,15,18,25,15,15,56,36,32,42,44,20,24,35,15,20,20,18,10,10,23,21,20,55,92,84,89,"$35,000,000 ","$13,000,000 ",Default,34670,4,Right,UTEP,8609,20,12748,Aaron Jones,JonesAaron_12748,launch-ratings,published,
58,Dolphins,CB,CB_Zone,25,Xavien,Howard,28,73,198,91,91,93,88,87,65,92,97,64,63,76,69,26,29,66,85,77,83,27,26,16,11,27,6,6,6,16,6,6,13,14,33,34,10,33,34,45,15,65,53,83,88,90,90,95,32,36,61,18,17,56,90,89,88,"$50,320,000 ","$26,880,000 ",Short Stride Loose,34154,5,Right,Baylor,8061,12,17709,Xavien Howard,HowardXavien_17709,launch-ratings,published,
59,Vikings,DT,DT_RunStopper,97,Michael,Pierce,28,72,345,91,71,85,67,50,96,68,85,28,17,23,17,52,32,24,26,14,16,15,13,5,3,24,6,6,6,15,6,6,12,45,46,45,44,44,45,92,40,85,77,88,18,26,13,95,80,62,93,23,19,9,72,87,84,"$18,400,000 ","$8,500,000 ",Default Stride Awkward,33914,5,Right,Samford,8397,31,12433,Michael Pierce,PierceMichael_12433,launch-ratings,published,
