ID,First Name,Last Name,Age,Height,Weight,Jersey,Position,Team,Archetype
46,DeForest,Buckner,27,79,295,99,DT,Colts,DT_SpeedRusher
47,Chris,Jones,27,78,310,95,DT,Chiefs,DT_PowerRusher
48,Joey,Bosa,26,77,280,97,LOLB,Chargers,OLB_SpeedRusher
49,Devin,McCourty,34,70,195,32,FS,Patriots,S_Zone
50,Brandon,Brooks,32,77,335,79,RG,Eagles,G_PassProtector
51,Cameron,Heyward,32,77,295,97,RE,Steelers,DE_RunStopper
52,Bobby,Wagner,31,72,242,54,MLB,Seahawks,MLB_FieldGeneral
53,Lamar,Jackson,24,74,212,8,QB,Ravens,QB_Improviser
54,Jessie,Bates III,24,73,200,30,FS,Bengals,S_Zone
55,Tyron,Smith,30,77,320,77,LT,Cowboys,OT_Agile
56,Justin,Simmons,27,74,202,31,FS,Broncos,S_Zone
57,Aaron,Jones,26,69,208,33,HB,Packers,HB_ElusiveBack
58,Xavien,Howard,28,73,198,25,CB,Dolphins,CB_Zone
59,Michael,Pierce,28,72,345,97,DT,Vikings,DT_RunStopper
60,Demario,Davis,32,74,248,56,MLB,Saints,MLB_FieldGeneral
61,Jason,Kelce,33,75,295,62,C,Eagles,C_Agile
62,Mike,Evans,28,77,231,13,WR,Buccaneers,WR_Physical
63,Calais,Campbell,35,80,300,93,RE,Ravens,DE_RunStopper
64,Allen,Robinson II,28,74,220,12,WR,Bears,WR_Physical
65,Deshaun,Watson,25,74,215,4,QB,Texans,QB_Improviser
66,Eric,Kendricks,29,72,232,54,MLB,Vikings,MLB_FieldGeneral
67,Harrison,Smith,32,74,214,22,SS,Vikings,S_RunSupport
68,James,Bradberry IV,28,73,210,24,CB,Giants,CB_MantoMan
69,Saquon,Barkley,24,71,233,26,HB,Giants,HB_ElusiveBack
70,Nick,Bosa,23,76,266,97,RE,49ers,DE_SmallerSpeedRusher
71,Jamal,Adams,25,73,213,33,SS,Seahawks,S_RunSupport
72,Ali,Marpet,28,76,307,74,LG,Buccaneers,G_Power
73,Eddie,Jackson,27,72,199,4,FS,Bears,S_Zone
74,Denzel,Ward,24,71,190,21,CB,Browns,CB_MantoMan
75,Odell,Beckham Jr,28,71,198,13,WR,Browns,WR_DeepThreat
76,Wyatt,Teller,26,76,314,77,RG,Browns,G_Power
77,Adrian,Amos,28,72,214,31,SS,Packers,S_Zone
78,Kenny,Clark,25,75,314,97,DT,Packers,DT_RunStopper
79,Za'Darius,Smith,28,76,272,55,LOLB,Packers,OLB_PowerRusher
80,Laremy,Tunsil,27,77,316,78,LT,Texans,OT_PassProtector
81,Darius,Leonard,26,74,215,53,LOLB,Colts,OLB_RunStopper
82,Josh,Jacobs,23,70,220,28,HB,Raiders,HB_PowerBack
83,Richie,Incognito,38,75,325,64,LG,Raiders,G_Power
84,Danielle,Hunter,26,77,252,99,LE,Vikings,DE_SmallerSpeedRusher
85,Ryan,Ramczyk,27,78,314,71,RT,Saints,OT_PassProtector
86,Minkah,Fitzpatrick,24,73,207,39,FS,Steelers,S_Zone
87,Stephon,Tuitt,28,78,303,91,LE,Steelers,DE_RunStopper
88,D.K.,Metcalf,23,75,235,14,WR,Seahawks,WR_Physical
89,Ryan,Jensen,30,76,319,66,C,Buccaneers,C_Agile
90,Tristan,Wirfs,22,77,320,78,RT,Buccaneers,OT_PassProtector
91,Kendall,Fuller,26,71,198,29,CB,Football Team,CB_MantoMan
92,Terry,McLaurin,24,72,210,17,WR,Football Team,WR_DeepThreat
93,Calvin,Ridley,26,73,190,18,WR,Falcons,WR_RouteRunner
94,Grady,Jarrett,28,72,305,97,RE,Falcons,DE_PowerRusher
95,Marcus,Peters,28,72,197,24,CB,Ravens,CB_MantoMan
96,Mark,Andrews,25,77,253,89,TE,Ravens,TE_VerticalThreat
97,Josh,Allen,25,77,237,17,QB,Bills,QB_Improviser
98,Micah,Hyde,30,72,197,23,FS,Bills,S_Zone
99,Akiem,Hicks,31,76,347,96,LE,Bears,DE_RunStopper
100,Roquan,Smith,24,72,230,58,MLB,Bears,MLB_FieldGeneral
101,Joe,Mixon,25,73,218,28,HB,Bengals,HB_ElusiveBack
102,Joel,Bitonio,29,76,320,75,LG,Browns,G_PassProtector
103,Ezekiel,Elliott,26,72,228,21,HB,Cowboys,HB_ElusiveBack
104,Frank,Ragnow,25,77,308,77,C,Lions,C_PassProtector
105,Corey,Linsley,30,75,301,63,C,Chargers,C_Agile
106,Derwin,James Jr,25,74,215,33,SS,Chargers,S_Hybrid
107,Byron,Jones,28,72,205,24,CB,Dolphins,CB_Zone
108,Adam,Thielen,31,74,200,19,WR,Vikings,WR_RouteRunner
109,Darius,Slay Jr,30,72,190,2,CB,Eagles,CB_MantoMan
110,Lane,Johnson,31,78,317,65,RT,Eagles,OT_Power
111,Tyler,Lockett,28,70,182,16,WR,Seahawks,WR_DeepThreat
112,Shaquil,Barrett,28,74,250,58,LOLB,Buccaneers,OLB_SpeedRusher
113,Vita,Vea,26,76,347,50,DT,Buccaneers,DT_RunStopper
114,Kevin,Byard,28,71,212,31,FS,Titans,S_Zone
115,Jonathan,Allen,26,75,300,93,DT,Football Team,DT_PowerRusher
116,Justin,Tucker,31,73,180,9,K,Ravens,KP_Accurate
117,Jordan,Poyer,30,72,191,21,SS,Bills,S_Zone
118,Brian,Burns,23,77,249,53,LE,Panthers,DE_SmallerSpeedRusher
119,Robby,Anderson,28,75,190,11,WR,Panthers,WR_DeepThreat
120,Kareem,Hunt,26,71,216,27,HB,Browns,HB_ElusiveBack
121,Dak,Prescott,28,74,238,4,QB,Cowboys,QB_Improviser
122,DeMarcus,Lawrence,29,75,265,90,LE,Cowboys,DE_RunStopper
123,La'el,Collins,28,76,320,71,RT,Cowboys,OT_Power
124,Kyle,Fuller,29,71,194,23,CB,Broncos,CB_Zone
125,Ryan,Kelly,28,76,309,78,C,Colts,C_PassProtector
126,Bryan,Bulaga,32,77,314,75,RT,Chargers,OT_PassProtector
127,Chris,Harris Jr,32,70,199,25,CB,Chargers,CB_Slot
128,Robert,Woods,29,72,193,2,WR,Rams,WR_RouteRunner
129,Justin,Jefferson,22,73,202,18,WR,Vikings,WR_DeepThreat
130,Dont'a,Hightower,31,75,260,54,MLB,Patriots,MLB_RunStopper
131,Hunter,Henry,26,77,250,85,TE,Patriots,TE_Possession
132,Marshon,Lattimore,25,72,192,23,CB,Saints,CB_MantoMan
133,Kyle,Juszczyk,30,73,235,44,FB,49ers,FB_Utility
134,Chris,Carson,26,71,222,32,HB,Seahawks,HB_PowerBack
135,Chris,Godwin,25,73,205,14,WR,Buccaneers,WR_RouteRunner
136,Ryan,Tannehill,33,76,217,17,QB,Titans,QB_FieldGeneral
137,Brandon,Scherff,29,77,315,75,RG,Football Team,G_Power
138,Da'Ron,Payne,24,75,319,94,DT,Football Team,DT_RunStopper
139,Deion,Jones,26,73,222,45,MLB,Falcons,MLB_PassCoverage
140,Cole,Beasley,32,68,174,11,WR,Bills,WR_Slot
141,Austin,Hooper,26,76,254,81,TE,Browns,TE_VerticalThreat
142,John,Johnson III,25,72,209,43,SS,Browns,S_Zone
143,Bryce,Callahan,29,69,188,29,CB,Broncos,CB_Zone
144,Kareem,Jackson,33,70,185,22,SS,Broncos,S_RunSupport
145,Elgton,Jenkins,25,77,310,74,LG,Packers,G_Agile
146,James,Robinson,23,69,219,30,HB,Jaguars,HB_PowerBack
147,Myles,Jack,25,73,244,44,MLB,Jaguars,MLB_FieldGeneral
148,Casey,Hayward Jr,31,71,192,29,CB,Raiders,CB_MantoMan
149,Andrew,Whitworth,39,79,330,77,LT,Rams,OT_PassProtector
150,Cooper,Kupp,28,74,208,10,WR,Rams,WR_RouteRunner
151,Johnny,Hekker,31,77,241,6,P,Rams,KP_Accurate
152,Shaq,Mason,28,73,310,69,RG,Patriots,G_Power
153,Trent,Brown,28,80,380,77,RT,Patriots,OT_Power
154,Quinnen,Williams,23,75,303,95,DT,Jets,DT_RunStopper
155,Alex,Mack,35,76,311,50,C,49ers,C_Power
156,Raheem,Mostert,29,70,205,31,HB,49ers,HB_ElusiveBack
157,Antonio,Brown,33,70,181,81,WR,Buccaneers,WR_DeepThreat
158,Rob,Gronkowski,32,78,268,87,TE,Buccaneers,TE_Possession
159,A.J.,Brown,24,72,226,11,WR,Titans,WR_DeepThreat
160,Chase,Young,22,77,264,99,RE,Football Team,DE_SmallerSpeedRusher
161,Matthew,Ioannidis,27,75,310,98,DT,Football Team,DT_PowerRusher
162,William,Jackson III,28,72,196,23,CB,Football Team,CB_MantoMan
163,Matt,Ryan,36,76,217,2,QB,Falcons,QB_FieldGeneral
164,Brandon,Williams,32,73,340,98,DT,Ravens,DT_RunStopper
165,Taylor,Moton,27,77,325,72,RT,Panthers,OT_Agile
166,Tyler,Boyd,26,74,203,83,WR,Bengals,WR_RouteRunner
167,Bradley,Chubb,25,76,275,55,ROLB,Broncos,OLB_SpeedRusher
168,Melvin,Gordon III,28,73,215,25,HB,Broncos,HB_ElusiveBack
169,T.J.,Hockenson,24,77,251,88,TE,Lions,TE_VerticalThreat
170,Brandin,Cooks,27,70,183,13,WR,Texans,WR_DeepThreat
171,Shaquill,Griffin,26,72,198,26,CB,Jaguars,CB_Zone
172,Austin,Ekeler,26,70,200,30,HB,Chargers,HB_ElusiveBack
173,Jason,Sanders,25,71,195,7,K,Dolphins,KP_Accurate
174,Mike,Gesicki,25,78,250,88,TE,Dolphins,TE_VerticalThreat
175,Will,Fuller V,27,72,184,3,WR,Dolphins,WR_DeepThreat
176,David,Andrews,29,75,300,60,C,Patriots,C_Power
177,JC,Jackson,25,70,198,27,CB,Patriots,CB_MantoMan
178,Kenny,Golladay,27,76,213,19,WR,Giants,WR_Physical
179,Marcus,Maye,28,72,207,20,SS,Jets,S_Zone
180,Brandon,Graham,33,74,265,55,LE,Eagles,DE_PowerRusher
181,Devin,White,23,72,237,45,MLB,Buccaneers,MLB_FieldGeneral
182,Ndamukong,Suh,34,76,313,93,RE,Buccaneers,DE_RunStopper
183,Brett,Kern,35,74,214,6,P,Titans,KP_Accurate
184,Rodger,Saffold III,33,77,325,76,LG,Titans,G_Agile
185,Taylor,Lewan,30,79,309,77,LT,Titans,OT_Agile
186,Sam,Koch,39,73,222,4,P,Ravens,KP_Accurate
187,D.J.,Moore,24,72,210,2,WR,Panthers,WR_DeepThreat
188,Baker,Mayfield,26,73,215,6,QB,Browns,QB_FieldGeneral
189,Jadeveon,Clowney,28,77,255,90,LE,Browns,DE_PowerRusher
190,Jarvis,Landry,28,71,196,80,WR,Browns,WR_Slot
191,JC,Tretter,30,76,307,64,C,Browns,C_Agile
192,Garett,Bolles,29,77,297,72,LT,Broncos,OT_Agile
193,Bradley,Roby,29,71,194,21,CB,Texans,CB_MantoMan
194,Braden,Smith,25,78,315,72,RT,Colts,OT_Power
195,Kenny,Moore II,26,69,190,23,CB,Colts,CB_Slot
196,Marlon,Mack,25,72,210,25,HB,Colts,HB_ElusiveBack
197,Brandon,Linder,29,78,315,65,C,Jaguars,C_Power
198,Clyde,Edwards-Helaire,22,67,209,25,HB,Chiefs,HB_ElusiveBack
199,Harrison,Butker,26,76,205,7,K,Chiefs,KP_Power
200,Joe,Thuney,28,77,305,62,LG,Chiefs,G_PassProtector
201,Jared,Cook,34,77,254,87,TE,Chargers,TE_VerticalThreat
202,Linval,Joseph,32,76,329,98,DT,Chargers,DT_RunStopper
203,Darious,Williams,28,69,184,11,CB,Rams,CB_MantoMan
204,DeVante,Parker,28,75,211,11,WR,Dolphins,WR_Physical
205,C.J.,Gardner-Johnson,23,71,210,22,SS,Saints,S_Zone
206,Marcus,Williams,24,73,195,43,FS,Saints,S_Zone
207,Leonard,Williams,27,77,302,99,RE,Giants,DE_PowerRusher
208,C.J.,Mosley,29,74,250,57,MLB,Jets,MLB_FieldGeneral
209,Dallas,Goedert,26,76,256,88,TE,Eagles,TE_VerticalThreat
210,JuJu,Smith-Schuster,24,73,215,19,WR,Steelers,WR_Physical
211,Arik,Armstead,27,79,292,91,LE,49ers,DE_RunStopper
212,Jason,Verrett,30,70,188,2,CB,49ers,CB_Zone
213,Jimmie,Ward,30,71,195,1,FS,49ers,S_Zone
214,Jason,Pierre-Paul,32,77,278,90,ROLB,Buccaneers,OLB_SpeedRusher
215,Rashaan,Evans,25,74,232,54,MLB,Titans,MLB_RunStopper
216,Kevin,Zeitler,31,76,330,70,RG,Ravens,G_PassProtector
217,Emmanuel,Sanders,34,71,180,1,WR,Bills,WR_RouteRunner
218,Jerry,Hughes,33,74,254,55,RE,Bills,DE_SmallerSpeedRusher
219,Tremaine,Edmunds,23,77,250,49,MLB,Bills,MLB_RunStopper
220,A.J.,Bouye,30,72,191,24,CB,Panthers,CB_Zone
221,Noah,Fant,23,76,249,87,TE,Broncos,TE_VerticalThreat
222,Desmond,King II,26,70,200,25,CB,Texans,CB_Slot
223,Justin,Reid,24,73,202,20,FS,Texans,S_Zone
224,Phillip,Lindsay,27,68,190,30,HB,Texans,HB_ElusiveBack
225,Grover,Stewart,27,76,315,90,DT,Colts,DT_RunStopper
226,Jonathan,Taylor,22,70,226,28,HB,Colts,HB_ElusiveBack
227,T.Y.,Hilton,31,70,183,13,WR,Colts,WR_DeepThreat
228,Josh,Lambo,30,72,215,4,K,Jaguars,KP_Accurate
229,Marvin,Jones Jr,31,74,198,11,WR,Jaguars,WR_DeepThreat
230,Kenyan,Drake,27,73,211,23,HB,Raiders,HB_ElusiveBack
231,Matthew,Stafford,33,75,220,9,QB,Rams,QB_StrongArm
232,Sebastian,Joseph-Day,26,76,310,69,DT,Rams,DT_RunStopper
233,Jonathan,Jones,27,70,190,31,CB,Patriots,CB_MantoMan
234,Erik,McCoy,24,76,303,78,C,Saints,C_Agile
235,Evan,Engram,26,75,240,88,TE,Giants,TE_VerticalThreat
236,Logan,Ryan,30,71,195,23,FS,Giants,S_Hybrid
237,Carl,Lawson,26,74,261,58,RE,Jets,DE_SmallerSpeedRusher
238,Corey,Davis,26,75,209,84,WR,Jets,WR_DeepThreat
239,Eric,Ebron,28,76,253,85,TE,Steelers,TE_VerticalThreat
240,Tyson,Alualu,34,75,304,94,DT,Steelers,DT_RunStopper
241,Duane,Brown,36,76,315,76,LT,Seahawks,OT_Agile
242,Antoine,Winfield Jr,23,69,203,31,FS,Buccaneers,S_Zone
243,Carlton,Davis III,24,73,203,24,CB,Buccaneers,CB_MantoMan
244,Jeffery,Simmons,24,76,301,98,LE,Titans,DE_RunStopper
245,Curtis,Samuel,25,71,196,10,WR,Football Team,WR_DeepThreat
246,Tress,Way,31,73,220,5,P,Football Team,KP_Power
247,Byron,Murphy Jr,23,71,190,7,CB,Cardinals,CB_Slot
248,Kyler,Murray,24,70,207,1,QB,Cardinals,QB_Scrambler
249,Jimmy,Smith,33,74,210,22,CB,Ravens,CB_MantoMan
250,Donte,Jackson,25,70,180,26,CB,Panthers,CB_MantoMan
251,Haason,Reddick,26,73,235,43,RE,Panthers,DE_SmallerSpeedRusher
252,David,Montgomery,24,70,222,32,HB,Bears,HB_ElusiveBack
253,Eddie,Goldman,27,75,318,91,DT,Bears,DT_RunStopper
254,D.J.,Reader,27,75,347,98,DT,Bengals,DT_RunStopper
255,Mike,Hilton,27,69,184,21,CB,Bengals,CB_Slot
256,Michael,Gallup,25,73,198,13,WR,Cowboys,WR_DeepThreat
257,Courtland,Sutton,25,75,216,14,WR,Broncos,WR_Physical
258,Michael,Brockers,30,77,302,91,RE,Lions,DE_RunStopper
259,J.K.,Scott,24,78,208,6,P,Packers,KP_Power
260,Andrew,Norwell,29,78,325,68,LG,Jaguars,G_PassProtector
261,Josh,Allen,24,77,262,41,ROLB,Jaguars,OLB_SpeedRusher
262,Orlando,Brown Jr,25,80,345,57,LT,Chiefs,OT_Power
263,John,Brown,31,71,178,15,WR,Raiders,WR_DeepThreat
264,Mike,Williams,26,76,220,81,WR,Chargers,WR_Physical
265,Cam,Akers,22,70,217,23,HB,Rams,HB_ElusiveBack
266,Tyler,Higbee,28,78,257,89,TE,Rams,TE_VerticalThreat
267,Emmanuel,Ogbah,27,76,275,91,LE,Dolphins,DE_PowerRusher
268,Sheldon,Richardson,30,75,294,9,DT,Vikings,DT_PowerRusher
269,Matthew,Judon,29,75,275,9,LOLB,Patriots,OLB_PowerRusher
270,David,Onyemata,28,76,300,93,DT,Saints,DT_PowerRusher
271,Malcolm,Jenkins,33,72,204,27,SS,Saints,S_RunSupport
272,Graham,Gano,34,74,202,5,K,Giants,KP_Power
273,Kyle,Rudolph,31,78,265,80,TE,Giants,TE_VerticalThreat
274,Sterling,Shepard,28,70,201,3,WR,Giants,WR_RouteRunner
275,Mekhi,Becton,22,79,364,77,LT,Jets,OT_Power
276,Dee,Ford,30,74,252,55,LE,49ers,DE_SmallerSpeedRusher
277,Deebo,Samuel,25,71,215,19,WR,49ers,WR_Physical
278,Jaquiski,Tartt,29,73,215,26,SS,49ers,S_RunSupport
279,Quandre,Diggs,28,69,198,6,FS,Seahawks,S_Zone
280,Jayon,Brown,26,72,226,55,MLB,Titans,MLB_FieldGeneral
281,Antonio,Gibson,23,72,228,24,HB,Football Team,HB_ElusiveBack
282,Montez,Sweat,24,78,260,90,LE,Football Team,DE_SmallerSpeedRusher
283,Jake,Matthews,29,77,305,70,LT,Falcons,OT_PassProtector
284,Kyle,Pitts,20,78,245,8,TE,Falcons,TE_VerticalThreat
285,Mike,Davis,28,69,221,28,HB,Falcons,HB_ElusiveBack
286,Younghoe,Koo,27,69,185,7,K,Falcons,KP_Power
287,J.K.,Dobbins,22,70,209,27,HB,Ravens,HB_ElusiveBack
288,Patrick,Ricard,27,75,300,42,FB,Ravens,FB_Blocking
289,Dion,Dawkins,27,77,320,73,LT,Bills,OT_Agile
290,Ed,Oliver,23,73,287,91,DT,Bills,DT_PowerRusher
291,CeeDee,Lamb,22,74,189,88,WR,Cowboys,WR_DeepThreat
292,Alexander,Johnson,29,74,255,45,MLB,Broncos,MLB_RunStopper
293,Dalton,Risner,26,77,312,66,LG,Broncos,G_Power
294,Trey,Flowers,28,74,265,90,ROLB,Lions,OLB_PowerRusher
295,Rashan,Gary,23,77,277,52,LOLB,Packers,OLB_PowerRusher
296,Xavier,Rhodes,31,73,218,27,CB,Colts,CB_MantoMan
297,D.J.,Chark Jr,24,76,198,17,WR,Jaguars,WR_DeepThreat
298,Derrick,Nnadi,25,73,312,91,DT,Chiefs,DT_RunStopper
299,Derek,Carr,30,75,210,4,QB,Raiders,QB_FieldGeneral
300,Nick,Kwiatkoski,28,74,242,44,MLB,Raiders,MLB_FieldGeneral
301,Eric,Rowe,28,73,205,21,SS,Dolphins,S_Hybrid
302,Dalvin,Tomlinson,27,75,317,94,DT,Vikings,DT_RunStopper
303,Patrick,Peterson,31,73,203,7,CB,Vikings,CB_MantoMan
304,Isaiah,Wynn,25,74,310,76,LT,Patriots,OT_Power
305,Jonnu,Smith,26,75,248,81,TE,Patriots,TE_VerticalThreat
306,Adoree',Jackson,25,71,185,22,CB,Giants,CB_Zone
307,Dexter,Lawrence II,23,76,342,97,LE,Giants,DE_RunStopper
308,Jabrill,Peppers,25,71,213,21,SS,Giants,S_Hybrid
309,Anthony,Harris,29,73,202,28,FS,Eagles,S_Zone
310,Miles,Sanders,24,71,211,26,HB,Eagles,HB_ElusiveBack
311,Chris,Boswell,30,74,185,9,K,Steelers,KP_Accurate
312,Diontae,Johnson,25,70,181,18,WR,Steelers,WR_DeepThreat
313,Joe,Haden,32,71,195,23,CB,Steelers,CB_MantoMan
314,Michael,Dickson,25,74,208,4,P,Seahawks,KP_Power
315,Ronald,Jones II,24,71,210,27,HB,Buccaneers,HB_ElusiveBack
316,Ben,Jones,32,75,308,60,C,Titans,C_Agile
317,Bud,Dupree,28,76,269,48,LOLB,Titans,OLB_PowerRusher
318,James,Conner,26,73,233,6,HB,Cardinals,HB_PowerBack
319,Matt,Prater,37,70,201,5,K,Cardinals,KP_Power
320,DeShon,Elliott,24,73,210,32,FS,Ravens,S_Zone
321,Marquise,Brown,24,69,180,5,WR,Ravens,WR_DeepThreat
322,Sammy,Watkins,28,73,211,14,WR,Ravens,WR_DeepThreat
323,Matt,Milano,27,72,223,58,ROLB,Bills,OLB_RunStopper
324,Mitch,Morse,29,78,305,60,C,Bills,C_Power
325,Jeremy,Chinn,23,75,221,21,FS,Panthers,S_Zone
326,Cody,Whitehair,29,75,309,65,C,Bears,C_Agile
327,Damien,Williams,29,71,221,8,HB,Bears,HB_ElusiveBack
328,Trey,Hendrickson,26,76,270,91,RE,Bengals,DE_SmallerSpeedRusher
329,Jedrick,Wills Jr,22,76,312,71,LT,Browns,OT_Power
330,Keanu,Neal,26,73,211,42,SS,Cowboys,S_RunSupport
331,Leighton,Vander Esch,25,76,256,55,ROLB,Cowboys,OLB_RunStopper
332,Ronald,Darby,27,71,193,21,CB,Broncos,CB_MantoMan
333,Shelby,Harris,30,74,290,96,RE,Broncos,DE_RunStopper
334,Jack,Fox,25,74,215,3,P,Lions,KP_Power
335,Darnell,Savage,24,71,198,26,FS,Packers,S_Zone
336,Preston,Smith,28,77,265,91,ROLB,Packers,OLB_PowerRusher
337,Robert,Tonyan,27,77,237,85,TE,Packers,TE_VerticalThreat
338,Nyheim,Hines,24,69,198,21,HB,Colts,HB_ReceivingBack
339,Frank,Clark,28,75,260,55,RE,Chiefs,DE_PowerRusher
340,L'Jarius,Sneed,24,72,193,38,CB,Chiefs,CB_MantoMan
341,Trayvon,Mullen,23,74,200,27,CB,Raiders,CB_MantoMan
342,Justin,Herbert,23,78,236,10,QB,Chargers,QB_FieldGeneral
343,Rob,Havenstein,29,80,328,79,RT,Rams,OT_Agile
344,Benardrick,McKinney,28,76,257,50,MLB,Dolphins,MLB_RunStopper
345,Kyle,Van Noy,30,75,250,53,ROLB,Patriots,OLB_PowerRusher
346,Michael,Onwenu,23,75,350,71,LG,Patriots,G_Power
347,Nelson,Agholor,28,72,198,13,WR,Patriots,WR_DeepThreat
348,Latavius,Murray,30,75,230,28,HB,Saints,HB_ElusiveBack
349,Darius,Slayton,24,73,190,86,WR,Giants,WR_DeepThreat
350,Jamison,Crowder,28,69,177,82,WR,Jets,WR_Slot
351,Javon,Hargrave,28,74,305,97,DT,Eagles,DT_SpeedRusher
352,Zach,Ertz,30,77,250,86,TE,Eagles,TE_Possession
353,K'Waun,Williams,30,69,185,24,CB,49ers,CB_Zone
354,Mike,McGlinchey,26,80,310,69,RT,49ers,OT_Power
355,Robbie,Gould,38,72,190,9,K,49ers,KP_Power
356,Gabe,Jackson,30,75,335,65,LG,Seahawks,G_Power
357,Jamel,Dean,24,73,208,35,CB,Buccaneers,CB_MantoMan
358,O.J.,Howard,26,78,250,80,TE,Buccaneers,TE_VerticalThreat
359,Sean,Murphy-Bunting,24,72,195,23,CB,Buccaneers,CB_MantoMan
360,Harold,Landry III,25,74,252,58,ROLB,Titans,OLB_SpeedRusher
361,A.J.,Green,33,76,210,18,WR,Cardinals,WR_Physical
362,Christian,Kirk,24,71,200,13,WR,Cardinals,WR_Slot
363,Malcolm,Butler,31,71,190,21,CB,Cardinals,CB_MantoMan
364,Markus,Golden,30,75,260,44,ROLB,Cardinals,OLB_PowerRusher
365,Chris,Lindstrom,24,75,307,63,RG,Falcons,G_Power
366,Duron,Harmon,30,73,205,21,FS,Falcons,S_Zone
367,Foyesade,Oluokun,26,74,215,54,MLB,Falcons,MLB_FieldGeneral
368,Hayden,Hurst,28,76,265,81,TE,Falcons,TE_VerticalThreat
369,Derek,Wolfe,31,77,285,95,LE,Ravens,DE_RunStopper
370,Gus,Edwards,26,73,240,35,HB,Ravens,HB_PowerBack
371,Devin,Singletary,23,67,203,26,HB,Bills,HB_ElusiveBack
372,Taron,Johnson,25,71,192,24,CB,Bills,CB_Slot
373,Derrick,Brown,23,77,320,95,DT,Panthers,DT_RunStopper
374,Bilal,Nichols,24,75,299,98,DT,Bears,DT_RunStopper
375,Danny,Trevathan,31,72,237,59,MLB,Bears,MLB_FieldGeneral
376,Desmond,Trufant,30,72,190,21,CB,Bears,CB_Slot
377,Ricardo,Allen,29,69,186,37,SS,Bengals,S_Zone
378,Vonn,Bell,26,71,205,24,SS,Bengals,S_RunSupport
379,David,Njoku,25,76,246,85,TE,Browns,TE_VerticalThreat
380,Jack,Conklin,27,78,308,78,RT,Browns,OT_Agile
381,Ronnie,Harrison Jr,24,75,214,33,SS,Browns,S_Hybrid
